Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
2024-01-01,30.0,24.0,25.7,8.2,15.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-02,30.0,23.0,26.1,1.2,16.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-03,29.0,23.1,25.9,1.1,10.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-04,29.2,23.8,25.8,2.3,12.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-05,29.5,22.9,25.7,1.7,10.0,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-01-06,30.0,23.1,25.7,0.3,7.9,OESTE,La Cabaña,Bocas del Toro
2024-01-07,29.1,23.2,25.5,1.6,15.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-08,28.9,23.2,25.1,4.2,13.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-09,30.0,22.7,26.2,0.0,8.3,NOROESTE,La Cabaña,Bocas del Toro
2024-01-10,29.0,24.5,26.5,0.7,9.2,OESTE,La Cabaña,Bocas del Toro
2024-01-11,30.0,24.1,26.6,0.1,8.8,OESTE,La Cabaña,Bocas del Toro
2024-01-12,30.0,23.7,26.6,1.2,8.2,OESTE,La Cabaña,Bocas del Toro
2024-01-13,30.0,23.9,26.1,3.5,10.1,SUR,La Cabaña,Bocas del Toro
2024-01-14,31.0,22.9,25.6,2.5,8.5,OESTE,La Cabaña,Bocas del Toro
2024-01-15,29.0,23.3,26.0,0.3,9.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-16,30.0,23.7,26.5,0.6,11.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-17,30.0,24.7,26.3,2.1,16.7,NOROESTE,La Cabaña,Bocas del Toro
2024-01-18,29.0,23.7,25.9,3.0,15.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-19,28.3,24.1,25.8,1.1,13.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-20,29.5,23.3,25.6,0.6,13.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-21,28.0,23.6,25.3,4.0,13.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-22,29.7,23.3,25.5,3.4,15.8,NOROESTE,La Cabaña,Bocas del Toro
2024-01-23,30.0,23.1,25.5,2.4,16.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-24,31.0,24.4,26.8,2.5,14.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-25,30.0,24.4,26.5,3.7,13.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-26,29.0,23.4,25.7,4.1,14.6,OESTE,La Cabaña,Bocas del Toro
2024-01-27,26.3,24.1,25.1,5.5,13.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-28,28.0,24.4,25.6,8.1,15.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-01-29,29.0,23.0,24.8,8.9,15.9,OESTE,La Cabaña,Bocas del Toro
2024-01-30,30.0,22.5,25.8,0.3,15.6,NOROESTE,La Cabaña,Bocas del Toro
2024-01-31,30.0,23.4,25.9,2.6,16.8,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-01,25.0,23.0,23.9,35.6,18.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-02,25.0,23.0,24.1,17.5,15.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-03,29.0,23.0,25.7,0.0,6.9,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-02-04,30.0,24.2,26.9,0.0,8.2,SURESTE,La Cabaña,Bocas del Toro
2024-02-05,30.0,24.1,26.9,0.0,8.3,OESTE,La Cabaña,Bocas del Toro
2024-02-06,27.0,24.0,25.3,24.6,16.2,NOROESTE,La Cabaña,Bocas del Toro
2024-02-07,25.0,22.0,23.6,15.8,17.9,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-08,27.0,22.9,24.1,16.6,16.9,NOROESTE,La Cabaña,Bocas del Toro
2024-02-09,27.0,22.8,24.6,1.8,11.5,NOROESTE,La Cabaña,Bocas del Toro
2024-02-10,29.0,21.8,25.4,0.0,10.6,OESTE,La Cabaña,Bocas del Toro
2024-02-11,30.0,23.1,25.9,0.9,8.8,OESTE,La Cabaña,Bocas del Toro
2024-02-12,30.0,22.9,26.2,2.0,9.7,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-13,29.0,24.0,26.3,4.6,14.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-14,30.0,23.7,26.0,1.5,16.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-15,27.0,23.0,24.7,2.2,16.7,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-16,27.0,23.5,25.2,2.2,13.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-17,30.0,24.3,26.5,1.7,11.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-18,27.2,24.6,25.9,7.3,8.3,OESTE,La Cabaña,Bocas del Toro
2024-02-19,31.0,25.7,27.6,1.2,22.1,NOROESTE,La Cabaña,Bocas del Toro
2024-02-20,27.0,23.8,25.2,25.4,23.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-21,24.6,22.0,23.7,45.1,24.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-22,28.0,22.9,25.1,0.9,20.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-23,28.0,22.4,25.0,0.0,11.1,OESTE,La Cabaña,Bocas del Toro
2024-02-24,30.0,22.7,25.7,1.1,11.9,NOROESTE,La Cabaña,Bocas del Toro
2024-02-25,27.0,22.7,24.3,9.9,15.8,OESTE,La Cabaña,Bocas del Toro
2024-02-26,30.0,22.1,25.1,1.7,14.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-27,29.0,21.4,25.1,0.5,11.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-02-28,31.0,22.3,25.7,1.9,9.8,NOROESTE,La Cabaña,Bocas del Toro
2024-02-29,34.0,23.0,26.0,1.8,10.3,NOROESTE,La Cabaña,Bocas del Toro
2024-03-01,30.0,22.7,25.7,1.1,10.8,OESTE,La Cabaña,Bocas del Toro
2024-03-02,30.0,23.1,25.7,2.7,11.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-03,28.8,22.9,25.5,0.0,9.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-04,28.4,23.1,25.5,0.6,9.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-05,29.0,23.9,26.6,1.3,9.9,NORESTE,La Cabaña,Bocas del Toro
2024-03-06,31.0,24.1,27.0,1.7,8.8,NOR-NOROESTE,La Cabaña,Bocas del Toro
2024-03-07,29.5,24.0,26.1,0.6,7.2,NOR-NORESTE,La Cabaña,Bocas del Toro
2024-03-08,32.0,24.9,27.1,1.3,7.1,SURESTE,La Cabaña,Bocas del Toro
2024-03-09,31.0,23.8,26.9,0.2,8.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-10,31.0,23.5,26.7,2.0,11.3,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-11,30.0,24.3,26.4,7.1,15.4,NOROESTE,La Cabaña,Bocas del Toro
2024-03-12,30.0,23.7,26.5,4.1,15.8,NOROESTE,La Cabaña,Bocas del Toro
2024-03-13,29.1,22.8,26.0,0.3,11.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-14,28.7,23.9,25.5,5.0,12.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-15,30.0,23.7,26.1,2.7,12.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-16,31.0,24.1,26.6,3.4,9.7,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-17,29.3,24.3,26.3,3.1,11.1,OESTE,La Cabaña,Bocas del Toro
2024-03-18,29.2,24.6,26.6,1.7,8.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-19,30.5,24.8,27.2,1.5,10.7,NOROESTE,La Cabaña,Bocas del Toro
2024-03-20,32.0,24.0,27.3,0.5,15.8,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-21,30.0,24.5,26.6,3.2,11.7,OESTE,La Cabaña,Bocas del Toro
2024-03-22,30.0,23.4,26.9,0.1,8.5,NOR-NOROESTE,La Cabaña,Bocas del Toro
2024-03-23,30.1,24.0,27.0,0.0,8.4,SURESTE,La Cabaña,Bocas del Toro
2024-03-24,31.0,24.6,27.6,0.3,8.8,SUR,La Cabaña,Bocas del Toro
2024-03-25,31.0,24.4,27.7,0.0,9.2,SURESTE,La Cabaña,Bocas del Toro
2024-03-26,32.0,25.1,28.3,0.0,12.0,ESTE-SURESTE,La Cabaña,Bocas del Toro
2024-03-27,31.0,25.4,28.2,0.0,11.7,ESTE-SURESTE,La Cabaña,Bocas del Toro
2024-03-28,31.3,25.2,27.9,1.1,10.4,NOR-NORESTE,La Cabaña,Bocas del Toro
2024-03-29,31.0,24.3,27.2,5.0,14.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-30,32.0,23.4,26.9,0.0,12.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-03-31,32.0,22.7,26.6,0.0,13.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-01,30.4,22.6,26.4,0.0,11.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-02,30.6,22.0,26.3,0.0,10.4,SUROESTE,La Cabaña,Bocas del Toro
2024-04-03,30.4,24.6,27.2,0.4,8.5,SUR-SURESTE,La Cabaña,Bocas del Toro
2024-04-04,31.2,24.0,27.4,0.4,10.1,ESTE,La Cabaña,Bocas del Toro
2024-04-05,31.0,25.2,27.8,1.0,11.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-06,28.9,25.3,26.7,1.9,16.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-07,30.2,24.3,26.4,32.0,15.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-08,30.5,24.5,26.7,18.6,13.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-09,28.6,24.0,25.5,2.1,15.6,OESTE,La Cabaña,Bocas del Toro
2024-04-10,29.3,24.9,26.0,8.1,12.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-11,30.3,24.6,27.1,6.1,14.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-12,31.0,24.3,26.6,8.6,18.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-13,30.3,23.8,26.0,1.1,21.3,NOROESTE,La Cabaña,Bocas del Toro
2024-04-14,31.0,23.9,26.8,2.8,16.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-15,31.0,23.4,26.3,2.1,12.7,OESTE,La Cabaña,Bocas del Toro
2024-04-16,31.0,23.5,26.9,0.3,11.2,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-17,30.3,23.2,26.9,0.0,10.0,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-18,32.0,23.3,27.2,0.0,10.4,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-19,31.0,23.4,27.6,0.0,9.6,OESTE,La Cabaña,Bocas del Toro
2024-04-20,31.0,24.7,27.1,0.7,9.1,OESTE-SUROESTE,La Cabaña,Bocas del Toro
2024-04-21,30.0,24.0,26.9,0.3,8.1,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-22,30.0,24.0,26.9,2.4,5.7,ESTE-NORESTE,La Cabaña,Bocas del Toro
2024-04-23,31.0,24.6,27.6,1.7,11.1,NOROESTE,La Cabaña,Bocas del Toro
2024-04-24,30.4,24.3,26.5,16.8,12.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-25,29.0,23.8,25.8,9.0,15.5,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-26,29.0,24.4,25.9,30.4,12.6,OESTE-NOROESTE,La Cabaña,Bocas del Toro
2024-04-27,29.5,23.7,26.0,10.3,10.3,OESTE,La Cabaña,Bocas del Toro
2024-04-28,31.0,24.6,26.9,1.2,8.7,OESTE,La Cabaña,Bocas del Toro
2024-04-29,30.3,24.2,26.3,2.2,8.1,OESTE-SUROESTE,La Cabaña,Bocas del Toro
