Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia,Pais
2024-01-01,30.0,22.0,25.3,5.5,20.9,Este,Neiva,Huila,Colombia
2024-01-02,32.7,22.4,28.3,1.0,21.2,Este,Neiva,Huila,Colombia
2024-01-03,33.0,21.4,27.3,43.4,31.7,Este,Neiva,Huila,Colombia
2024-01-04,33.5,24.0,29.3,7.4,25.9,Este,Neiva,Huila,Colombia
2024-01-05,34.3,21.4,29.3,0.6,24.8,Este,Neiva,Huila,Colombia
2024-01-06,34.0,22.4,27.7,0.0,18.7,Este,Neiva,Huila,Colombia
2024-01-07,34.0,21.6,27.3,0.0,29.5,Este,Neiva,Huila,Colombia
2024-01-08,34.7,21.7,29.6,0.0,24.1,Este,Neiva,Huila,Colombia
2024-01-09,35.7,22.2,29.9,0.0,26.6,Este,Neiva,Huila,Colombia
2024-01-10,35.0,23.0,30.7,4.8,24.1,Este,Neiva,Huila,Colombia
2024-01-11,34.0,21.7,27.6,11.9,24.5,Este,Neiva,Huila,Colombia
2024-01-12,35.0,24.4,29.6,6.3,25.6,Este,Neiva,Huila,Colombia
2024-01-13,32.0,22.0,27.9,4.0,25.9,Este,Neiva,Huila,Colombia
2024-01-14,34.3,22.0,29.4,2.2,19.1,Este,Neiva,Huila,Colombia
2024-01-15,35.0,13.0,27.6,0.2,18.7,Este,Neiva,Huila,Colombia
2024-01-16,36.0,23.6,30.8,0.0,27.7,Este,Neiva,Huila,Colombia
2024-01-17,36.4,25.0,31.5,0.0,23.8,Este,Neiva,Huila,Colombia
2024-01-18,36.0,24.7,30.9,0.0,23.8,Este,Neiva,Huila,Colombia
2024-01-19,36.0,22.0,29.2,0.0,23.8,Este,Neiva,Huila,Colombia
2024-01-20,34.0,22.7,30.6,0.0,26.6,Este,Neiva,Huila,Colombia
2024-01-21,33.0,24.2,27.9,0.0,37.1,Este,Neiva,Huila,Colombia
2024-01-22,37.0,24.0,30.0,0.0,26.6,Este,Neiva,Huila,Colombia
2024-01-23,39.0,21.8,31.9,0.0,32.0,Este,Neiva,Huila,Colombia
2024-01-24,38.0,21.5,29.7,0.0,31.0,Este,Neiva,Huila,Colombia
2024-01-25,37.4,21.0,31.7,0.0,27.7,Este,Neiva,Huila,Colombia
2024-01-26,38.0,21.6,31.9,0.0,21.6,Este,Neiva,Huila,Colombia
2024-01-27,37.0,22.6,32.1,0.0,22.7,Este,Neiva,Huila,Colombia
2024-01-28,35.5,25.0,31.0,7.8,24.5,Este,Neiva,Huila,Colombia
2024-01-29,37.4,25.8,32.6,3.8,25.6,Este,Neiva,Huila,Colombia
2024-01-30,37.0,25.2,32.5,0.0,25.2,Este,Neiva,Huila,Colombia
2024-01-31,35.5,25.0,31.6,1.4,28.4,Este,Neiva,Huila,Colombia
2024-02-01,36.4,24.2,29.7,23.8,23.4,Este,Neiva,Huila,Colombia
2024-02-02,28.0,22.8,25.1,6.5,21.2,Este,Neiva,Huila,Colombia
2024-02-03,36.1,22.6,29.2,10.9,19.4,Este,Neiva,Huila,Colombia
2024-02-04,33.0,22.0,26.7,10.3,20.9,Este,Neiva,Huila,Colombia
2024-02-05,33.6,22.8,27.1,4.2,26.3,Este,Neiva,Huila,Colombia
2024-02-06,32.0,22.7,27.6,0.0,24.1,Este,Neiva,Huila,Colombia
2024-02-07,36.0,22.8,28.0,7.3,24.1,Este,Neiva,Huila,Colombia
2024-02-08,32.0,23.0,28.3,11.1,28.8,Este,Neiva,Huila,Colombia
2024-02-09,33.2,23.7,27.9,4.6,19.8,Este,Neiva,Huila,Colombia
2024-02-10,32.0,22.8,27.1,0.0,23.4,Este,Neiva,Huila,Colombia
2024-02-11,35.0,24.0,29.8,0.8,21.2,Este,Neiva,Huila,Colombia
2024-02-12,35.6,24.0,30.4,0.0,26.6,Este,Neiva,Huila,Colombia
2024-02-13,35.5,24.3,31.0,0.0,20.9,Este,Neiva,Huila,Colombia
2024-02-14,35.0,23.2,29.0,0.0,24.8,Este,Neiva,Huila,Colombia
2024-02-15,32.0,24.8,29.4,0.0,34.9,Este,Neiva,Huila,Colombia
2024-02-16,34.0,24.8,29.7,0.0,36.4,Este,Neiva,Huila,Colombia
2024-02-17,34.0,24.9,29.8,0.0,32.0,Este,Neiva,Huila,Colombia
2024-02-18,37.5,24.0,30.2,0.1,28.4,Este,Neiva,Huila,Colombia
2024-02-19,38.3,24.5,31.4,0.0,33.8,Este,Neiva,Huila,Colombia
2024-02-20,37.1,24.8,32.4,33.7,35.6,Este,Neiva,Huila,Colombia
2024-02-21,35.0,26.0,31.8,16.3,46.1,Este,Neiva,Huila,Colombia
2024-02-22,34.0,26.0,30.9,4.3,51.5,Este,Neiva,Huila,Colombia
2024-02-23,36.0,24.1,29.6,0.0,32.8,Este,Neiva,Huila,Colombia
2024-02-24,36.3,23.0,29.3,18.6,32.4,Este,Neiva,Huila,Colombia
2024-02-25,35.5,21.3,28.5,34.4,37.1,Este,Neiva,Huila,Colombia
2024-02-26,36.4,25.0,31.3,8.9,25.2,Este,Neiva,Huila,Colombia
2024-02-27,34.0,21.9,27.7,13.4,30.6,Este,Neiva,Huila,Colombia
2024-02-28,36.0,24.8,31.6,0.6,24.8,Este,Neiva,Huila,Colombia
2024-02-29,37.0,25.8,32.3,2.0,25.2,Este,Neiva,Huila,Colombia
