Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
2024-01-01,31.0,22.7,26.1,0.1,10.1,Nor-Noroeste,Santiago,Veraguas
2024-01-02,31.6,22.4,26.1,0.0,10.8,Nor-Noroeste,Santiago,Veraguas
2024-01-03,32.6,21.6,26.4,0.0,9.3,Norte,Santiago,Veraguas
2024-01-04,32.4,21.7,26.2,0.2,8.6,Calmo,Santiago,Veraguas
2024-01-05,32.6,20.8,26.2,0.3,8.9,Norte,Santiago,Veraguas
2024-01-06,32.6,21.2,26.5,0.0,8.9,Suroeste,Santiago,Veraguas
2024-01-07,32.7,22.0,26.8,0.0,11.8,Suroeste,Santiago,Veraguas
2024-01-08,33.6,21.6,27.0,0.0,12.4,Nor-Noreste,Santiago,Veraguas
2024-01-09,34.4,22.5,27.4,0.0,8.2,Calmo,Santiago,Veraguas
2024-01-10,31.4,23.6,26.4,14.3,9.2,Calmo,Santiago,Veraguas
2024-01-11,32.6,22.3,26.3,1.0,8.0,Suroeste,Santiago,Veraguas
2024-01-12,33.6,23.1,26.9,0.2,6.8,Suroeste,Santiago,Veraguas
2024-01-13,31.2,23.6,26.4,2.8,8.0,Calmo,Santiago,Veraguas
2024-01-14,33.6,20.8,26.9,0.3,8.1,Calmo,Santiago,Veraguas
2024-01-15,33.4,21.4,27.1,0.0,10.4,Norte,Santiago,Veraguas
2024-01-16,34.4,20.8,27.7,0.0,10.8,Norte,Santiago,Veraguas
2024-01-17,34.2,23.0,28.3,0.2,12.1,Nor-Noroeste,Santiago,Veraguas
2024-01-18,34.6,24.5,28.7,0.0,14.6,Norte,Santiago,Veraguas
2024-01-19,34.3,23.7,28.2,0.0,13.1,Norte,Santiago,Veraguas
2024-01-20,34.5,22.2,27.9,0.0,13.8,Norte,Santiago,Veraguas
2024-01-21,34.2,23.4,28.4,0.0,13.3,Norte,Santiago,Veraguas
2024-01-22,34.5,23.4,29.0,0.0,13.6,Suroeste,Santiago,Veraguas
2024-01-23,35.3,23.6,29.3,0.0,12.3,Suroeste,Santiago,Veraguas
2024-01-24,35.2,22.4,29.4,0.0,11.2,Suroeste,Santiago,Veraguas
2024-01-25,35.4,23.0,29.0,0.5,12.5,Suroeste,Santiago,Veraguas
2024-01-26,35.0,22.6,28.9,0.1,11.5,Suroeste,Santiago,Veraguas
2024-01-27,34.7,22.6,28.8,0.5,9.7,Suroeste,Santiago,Veraguas
2024-01-28,35.0,22.4,28.8,0.0,10.6,Suroeste,Santiago,Veraguas
2024-01-29,34.4,23.9,28.5,0.0,13.6,Suroeste,Santiago,Veraguas
2024-01-30,33.8,23.6,28.5,0.0,19.8,Suroeste,Santiago,Veraguas
2024-01-31,34.2,22.8,28.2,0.0,15.4,Suroeste,Santiago,Veraguas
2024-02-01,34.3,23.6,28.6,0.7,14.9,N/D,Santiago,Veraguas
2024-02-02,33.9,24.1,28.2,1.3,13.0,Suroeste,Santiago,Veraguas
2024-02-03,35.0,23.9,27.8,3.4,8.7,Suroeste,Santiago,Veraguas
2024-02-04,30.2,24.0,26.1,5.9,9.3,Suroeste,Santiago,Veraguas
2024-02-05,33.8,23.8,27.9,0.0,13.3,Sur-Suroeste,Santiago,Veraguas
2024-02-06,35.0,22.9,27.0,4.8,8.6,Suroeste,Santiago,Veraguas
2024-02-07,32.6,22.7,27.1,0.1,15.6,Nor-Noreste,Santiago,Veraguas
2024-02-08,34.0,22.4,27.6,0.0,18.7,Nor-Noroeste,Santiago,Veraguas
2024-02-09,34.6,22.8,27.9,0.0,16.9,Nor-Noroeste,Santiago,Veraguas
2024-02-10,34.1,21.4,27.6,0.0,14.2,Nor-Noroeste,Santiago,Veraguas
2024-02-11,34.8,22.4,28.5,0.0,13.5,Suroeste,Santiago,Veraguas
2024-02-12,36.6,23.9,29.0,0.0,10.1,Variable,Santiago,Veraguas
2024-02-13,35.1,22.8,28.8,0.0,13.0,Nor-Noroeste,Santiago,Veraguas
2024-02-14,34.6,24.5,29.1,0.0,17.7,Nor-Noroeste,Santiago,Veraguas
2024-02-15,34.5,24.2,29.3,0.0,17.0,Nor-Noroeste,Santiago,Veraguas
2024-02-16,36.4,23.4,30.0,0.0,15.1,Nor-Noroeste,Santiago,Veraguas
2024-02-17,35.9,24.6,30.2,0.0,11.7,Nor-Noroeste,Santiago,Veraguas
2024-02-18,35.4,25.2,28.2,3.1,7.0,Este-Sureste,Santiago,Veraguas
2024-02-19,34.8,25.0,29.1,0.0,14.5,Nor-Noroeste,Santiago,Veraguas
2024-02-20,34.6,25.6,28.9,0.0,16.4,Norte,Santiago,Veraguas
2024-02-21,34.5,22.0,28.0,0.0,14.7,Norte,Santiago,Veraguas
2024-02-22,33.8,21.6,27.8,0.0,18.3,Nor-Noroeste,Santiago,Veraguas
2024-02-23,35.9,21.2,27.9,0.0,11.9,Este,Santiago,Veraguas
2024-02-24,35.7,21.0,27.9,0.0,11.0,Variable,Santiago,Veraguas
2024-02-25,35.4,21.5,28.5,0.2,16.4,Norte,Santiago,Veraguas
2024-02-26,34.5,23.8,28.5,0.0,15.7,Norte,Santiago,Veraguas
2024-02-27,36.3,21.0,28.3,0.0,15.7,Norte,Santiago,Veraguas
2024-02-28,36.3,20.0,28.6,0.0,16.7,Norte,Santiago,Veraguas
2024-02-29,36.3,20.8,28.9,0.0,16.4,Norte,Santiago,Veraguas
2024-03-01,35.5,21.2,28.7,0.0,15.5,Nor-Noroeste,Santiago,Veraguas
2024-03-02,34.9,21.8,28.4,0.0,14.4,Norte,Santiago,Veraguas
2024-03-03,36.7,19.4,28.5,0.0,12.0,Nor-Noroeste,Santiago,Veraguas
2024-03-04,36.0,21.4,28.7,0.2,10.5,Norte,Santiago,Veraguas
2024-03-05,36.7,21.6,29.2,0.8,10.0,Norte,Santiago,Veraguas
2024-03-06,36.7,24.0,29.8,0.0,10.9,Este,Santiago,Veraguas
2024-03-07,37.2,23.0,29.8,0.5,11.0,Nor-Noreste,Santiago,Veraguas
2024-03-08,37.5,23.6,29.9,0.9,10.2,Noreste,Santiago,Veraguas
2024-03-09,37.8,24.2,29.8,0.0,10.7,Nor-Noreste,Santiago,Veraguas
2024-03-10,38.0,23.8,30.0,1.0,12.2,Nor-Noroeste,Santiago,Veraguas
2024-03-11,36.5,25.8,30.5,0.4,16.5,Norte,Santiago,Veraguas
2024-03-12,37.3,26.4,30.6,0.0,17.8,Norte,Santiago,Veraguas
2024-03-13,36.5,24.0,29.9,0.2,16.1,Nor-Noroeste,Santiago,Veraguas
2024-03-14,37.0,23.6,30.6,0.9,13.2,Suroeste,Santiago,Veraguas
2024-03-15,35.7,24.2,30.4,1.1,15.5,Noroeste,Santiago,Veraguas
2024-03-16,37.2,24.2,30.6,1.0,13.4,Noroeste,Santiago,Veraguas
2024-03-17,37.9,25.2,30.6,1.1,12.4,Nor-Noroeste,Santiago,Veraguas
2024-03-18,37.6,24.5,30.7,0.5,11.4,Nor-Noroeste,Santiago,Veraguas
2024-03-19,38.0,24.2,30.5,0.2,12.3,Suroeste,Santiago,Veraguas
2024-03-20,37.2,25.8,29.9,1.0,12.0,Norte,Santiago,Veraguas
2024-03-21,36.9,24.2,30.3,0.6,12.9,Nor-Noroeste,Santiago,Veraguas
2024-03-22,37.6,22.8,29.7,0.6,9.6,Noroeste,Santiago,Veraguas
2024-03-23,37.0,23.8,29.8,0.7,8.3,Nor-Noroeste,Santiago,Veraguas
2024-03-24,38.4,25.2,29.7,1.8,7.7,Suroeste,Santiago,Veraguas
2024-03-25,35.1,25.7,29.2,1.0,9.9,Sur-Suroeste,Santiago,Veraguas
2024-03-26,35.0,24.2,27.6,9.8,10.9,Sur-Suroeste,Santiago,Veraguas
