Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
2024-01-01,32.0,24.0,27.0,0.0,34.6,Noroeste,Tocumen,Panamá
2024-01-02,32.0,22.0,27.2,0.4,40.7,Noroeste,Tocumen,Panamá
2024-01-03,32.0,24.0,27.6,1.6,35.6,Noroeste,Tocumen,Panamá
2024-01-04,33.0,22.0,27.0,0.4,22.3,Noroeste,Tocumen,Panamá
2024-01-05,33.0,22.0,27.0,0.6,33.8,Noroeste,Tocumen,Panamá
2024-01-06,32.0,22.0,26.5,1.2,19.1,Norte,Tocumen,Panamá
2024-01-07,33.0,22.0,27.2,0.2,32.4,Noroeste,Tocumen,Panamá
2024-01-08,33.0,22.0,27.3,0.0,31.0,Norte,Tocumen,Panamá
2024-01-09,32.0,23.0,27.4,1.1,24.8,Oeste,Tocumen,Panamá
2024-01-10,32.0,23.0,27.4,3.2,19.4,Noroeste,Tocumen,Panamá
2024-01-11,33.0,22.0,27.5,0.6,23.8,Oeste,Tocumen,Panamá
2024-01-12,33.0,22.0,27.0,2.4,23.0,Noreste,Tocumen,Panamá
2024-01-13,31.0,22.0,26.2,0.1,22.3,Noreste,Tocumen,Panamá
2024-01-14,33.0,22.0,27.0,1.9,28.1,Norte,Tocumen,Panamá
2024-01-15,35.0,22.0,27.7,0.0,23.4,Norte,Tocumen,Panamá
2024-01-16,34.0,22.0,27.9,1.6,16.9,Norte,Tocumen,Panamá
2024-01-17,34.0,23.0,28.0,0.4,33.1,Noroeste,Tocumen,Panamá
2024-01-18,34.0,24.0,29.0,0.0,45.4,Noroeste,Tocumen,Panamá
2024-01-19,34.0,24.0,28.7,0.0,30.2,Noroeste,Tocumen,Panamá
2024-01-20,34.0,21.0,26.9,0.0,38.2,Norte,Tocumen,Panamá
2024-01-21,34.0,24.0,28.3,0.0,44.6,Noroeste,Tocumen,Panamá
2024-01-22,34.0,25.0,29.0,0.0,46.1,Noroeste,Tocumen,Panamá
2024-01-23,34.0,24.0,28.8,1.7,33.1,Noroeste,Tocumen,Panamá
2024-01-24,34.0,22.0,28.0,0.2,19.8,Noroeste,Tocumen,Panamá
2024-01-25,34.0,22.0,28.1,0.5,26.3,Norte,Tocumen,Panamá
2024-01-26,33.0,22.0,27.4,2.3,20.9,Noroeste,Tocumen,Panamá
2024-01-27,33.0,22.0,27.2,2.4,17.6,Noreste,Tocumen,Panamá
2024-01-28,33.0,22.0,27.6,0.9,46.4,Noroeste,Tocumen,Panamá
2024-01-29,34.0,25.0,28.8,0.0,59.8,Noroeste,Tocumen,Panamá
2024-01-30,34.0,22.0,27.8,0.0,47.5,Noroeste,Tocumen,Panamá
2024-01-31,33.0,23.0,27.9,0.0,41.0,Noroeste,Tocumen,Panamá
2024-02-01,35.0,21.0,26.5,0.0,41.4,Norte,Tocumen,Panamá
2024-02-02,32.0,21.0,26.4,1.3,30.6,Norte,Tocumen,Panamá
2024-02-03,32.0,22.0,26.6,0.0,26.6,Este,Tocumen,Panamá
2024-02-04,30.0,23.0,26.5,0.2,27.4,Este,Tocumen,Panamá
2024-02-05,30.0,25.0,27.4,5.1,38.2,Este,Tocumen,Panamá
2024-02-06,32.0,24.0,28.3,5.8,41.8,Este,Tocumen,Panamá
2024-02-07,30.0,24.0,26.9,0.1,38.2,Norte,Tocumen,Panamá
2024-02-08,32.0,23.0,27.0,0.0,53.6,Norte,Tocumen,Panamá
2024-02-09,32.0,21.0,26.9,0.0,54.7,Noroeste,Tocumen,Panamá
2024-02-10,32.0,25.0,27.8,0.0,53.6,Noroeste,Tocumen,Panamá
2024-02-11,34.0,25.0,28.8,0.1,43.2,Noroeste,Tocumen,Panamá
2024-02-12,34.0,23.0,28.0,1.7,22.7,Noroeste,Tocumen,Panamá
2024-02-13,34.0,22.0,28.0,0.0,35.3,Noroeste,Tocumen,Panamá
2024-02-14,34.0,22.0,28.6,0.4,56.5,Norte,Tocumen,Panamá
2024-02-15,34.0,25.0,29.1,1.6,38.2,Noroeste,Tocumen,Panamá
2024-02-16,34.0,26.0,29.3,0.0,39.2,Noroeste,Tocumen,Panamá
2024-02-17,33.0,24.0,28.9,2.9,24.8,Noroeste,Tocumen,Panamá
2024-02-18,33.0,23.0,28.7,1.0,33.8,Oeste,Tocumen,Panamá
2024-02-19,35.0,25.9,30.1,0.2,48.6,Noroeste,Tocumen,Panamá
2024-02-20,38.0,26.0,29.7,0.0,70.6,Noroeste,Tocumen,Panamá
2024-02-21,34.0,22.0,28.3,0.0,56.2,Noroeste,Tocumen,Panamá
2024-02-22,31.0,21.0,26.4,0.1,43.9,Oeste,Tocumen,Panamá
2024-02-23,31.0,20.0,25.7,0.0,34.6,Noroeste,Tocumen,Panamá
2024-02-24,33.0,24.0,27.8,0.4,36.0,Noroeste,Tocumen,Panamá
2024-02-25,32.0,21.0,26.9,0.5,42.1,Noroeste,Tocumen,Panamá
2024-02-26,34.0,22.0,28.0,0.0,49.3,Noroeste,Tocumen,Panamá
2024-02-27,34.0,21.0,27.9,0.0,45.7,Noroeste,Tocumen,Panamá
2024-02-28,34.0,23.0,28.8,0.0,57.6,Noroeste,Tocumen,Panamá
2024-02-29,35.0,23.0,28.7,0.0,42.8,Noroeste,Tocumen,Panamá
2024-03-01,34.0,23.0,28.3,0.2,50.8,Noroeste,Tocumen,Panamá
2024-03-02,33.0,23.0,28.0,2.1,38.9,Noroeste,Tocumen,Panamá
2024-03-03,32.0,20.0,25.8,3.1,24.8,Norte,Tocumen,Panamá
2024-03-04,32.0,22.0,26.9,2.3,27.4,Norte,Tocumen,Panamá
2024-03-05,34.0,21.0,27.8,0.0,25.9,Norte,Tocumen,Panamá
2024-03-06,35.0,22.0,27.8,0.0,24.1,Noreste,Tocumen,Panamá
2024-03-07,33.0,22.0,27.8,0.0,25.2,Norte,Tocumen,Panamá
2024-03-08,34.0,23.0,28.1,1.9,24.1,Noroeste,Tocumen,Panamá
2024-03-09,34.0,24.0,28.8,2.1,25.9,Noroeste,Tocumen,Panamá
2024-03-10,34.0,23.0,28.8,2.4,29.2,Norte,Tocumen,Panamá
2024-03-11,34.0,24.0,29.5,0.2,57.2,Noroeste,Tocumen,Panamá
2024-03-12,35.0,27.0,30.0,0.0,71.3,Noroeste,Tocumen,Panamá
2024-03-13,34.0,26.0,29.2,0.0,48.6,Noroeste,Tocumen,Panamá
2024-03-14,34.0,25.0,29.0,0.0,47.2,Noroeste,Tocumen,Panamá
2024-03-15,34.0,27.0,29.8,1.0,41.0,Norte,Tocumen,Panamá
2024-03-16,33.0,24.0,28.3,2.0,24.5,Norte,Tocumen,Panamá
2024-03-17,35.0,24.0,28.3,1.3,29.9,Norte,Tocumen,Panamá
2024-03-18,34.0,24.0,28.4,1.2,27.4,Norte,Tocumen,Panamá
2024-03-19,33.0,24.0,28.5,1.8,36.7,Oeste,Tocumen,Panamá
2024-03-20,34.0,25.0,29.0,4.8,31.7,Oeste,Tocumen,Panamá
2024-03-21,34.0,24.0,29.2,0.3,46.8,Norte,Tocumen,Panamá
2024-03-22,36.0,24.0,29.1,0.0,32.4,Noroeste,Tocumen,Panamá
2024-03-23,34.0,22.0,28.4,0.0,38.9,Oeste,Tocumen,Panamá
2024-03-24,35.0,22.0,27.6,0.6,38.5,Noroeste,Tocumen,Panamá
2024-03-25,33.0,20.0,27.0,0.0,28.4,Noreste,Tocumen,Panamá
2024-03-26,31.0,22.0,27.2,0.2,32.4,Este,Tocumen,Panamá
2024-03-27,32.0,24.0,27.4,3.4,34.9,Este,Tocumen,Panamá
2024-03-28,32.0,24.0,28.0,2.4,35.3,Este,Tocumen,Panamá
2024-03-29,34.0,23.0,28.1,0.0,45.7,Noroeste,Tocumen,Panamá
2024-03-30,34.0,22.0,28.4,0.0,47.9,Noroeste,Tocumen,Panamá
2024-03-31,34.0,23.0,28.1,1.4,42.8,Norte,Tocumen,Panamá
2024-04-01,34.0,22.0,27.9,1.6,41.0,Noroeste,Tocumen,Panamá
2024-04-02,33.0,22.0,28.0,0.9,27.7,Noroeste,Tocumen,Panamá
2024-04-03,32.0,22.0,27.2,1.8,27.4,Este,Tocumen,Panamá
2024-04-04,30.0,23.0,26.7,8.9,18.7,Noreste,Tocumen,Panamá
2024-04-05,32.0,23.0,27.8,2.2,30.6,Oeste,Tocumen,Panamá
2024-04-06,35.0,26.0,29.4,3.0,34.9,Oeste,Tocumen,Panamá
2024-04-07,35.0,25.0,29.1,1.5,36.4,Norte,Tocumen,Panamá
2024-04-08,34.0,26.0,29.0,0.9,33.1,Noroeste,Tocumen,Panamá
2024-04-09,35.0,24.0,28.7,7.6,28.8,Norte,Tocumen,Panamá
2024-04-10,34.0,24.0,28.5,8.1,31.0,Noreste,Tocumen,Panamá
2024-04-11,33.0,24.0,28.0,3.0,22.7,Noreste,Tocumen,Panamá
2024-04-12,35.0,24.0,29.3,0.0,51.8,Noroeste,Tocumen,Panamá
2024-04-13,34.0,27.0,29.9,0.0,64.1,Noroeste,Tocumen,Panamá
2024-04-14,35.0,25.0,29.4,0.0,58.7,Noroeste,Tocumen,Panamá
2024-04-15,34.0,26.0,29.3,0.0,46.1,Noroeste,Tocumen,Panamá
2024-04-16,35.0,26.0,29.6,1.9,47.2,Noroeste,Tocumen,Panamá
2024-04-17,33.0,23.0,28.5,5.9,27.7,Noroeste,Tocumen,Panamá
2024-04-18,34.0,24.0,29.0,3.3,30.2,Noroeste,Tocumen,Panamá
2024-04-19,32.0,24.0,27.7,3.2,24.1,Norte,Tocumen,Panamá
2024-04-20,34.0,23.0,27.9,0.7,21.6,Norte,Tocumen,Panamá
2024-04-21,33.0,23.0,27.6,6.8,22.0,Noreste,Tocumen,Panamá
2024-04-22,32.0,23.0,27.1,10.0,26.6,Norte,Tocumen,Panamá
2024-04-23,34.0,24.0,28.5,5.4,44.6,Norte,Tocumen,Panamá
2024-04-24,34.0,26.0,29.2,2.4,44.6,Norte,Tocumen,Panamá
2024-04-25,29.6,25.0,26.4,7.9,32.4,Oeste,Tocumen,Panamá
2024-04-26,30.0,25.0,27.2,13.3,44.6,Oeste,Tocumen,Panamá
2024-04-27,34.0,25.0,28.2,12.7,33.1,Oeste,Tocumen,Panamá
2024-04-28,29.0,24.0,26.6,27.5,26.6,Oeste,Tocumen,Panamá
2024-04-29,30.0,23.0,26.5,12.6,22.7,Este,Tocumen,Panamá
