date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,24.8,20.8,28.3,0,,,5.8,,1017.3,
2024-01-02 00:00:00,25.3,20.9,28.9,0,,,8.2,,1015.9,
2024-01-03 00:00:00,23.8,19.1,30,0.3,,,9.9,,1016.3,
2024-01-04 00:00:00,24.3,20.3,30,0.1,,,10,,1016.6,
2024-01-05 00:00:00,25.7,20.4,30.7,0,,,7.3,,1016.5,
2024-01-06 00:00:00,26.1,19.9,30.5,0,,,6.9,,1015.2,
2024-01-07 00:00:00,24.8,19.9,31,0,,,8.7,,1013.7,
2024-01-08 00:00:00,26.8,20.1,31,0,,,9.7,,1013.8,
2024-01-09 00:00:00,26.5,20.2,31.3,3,,,9.6,,1014,
2024-01-10 00:00:00,24.6,20.9,29,0.2,,,7.4,,1015.7,
2024-01-11 00:00:00,24.8,19.8,29.4,1,,,7.2,,1016.6,
2024-01-12 00:00:00,24.8,19.7,30,0,,,9.3,,1015.7,
2024-01-13 00:00:00,23.6,19.9,30.3,3,,,8.5,,1017,
2024-01-14 00:00:00,24.2,19.6,29.6,0,,,6.6,,1016.6,
2024-01-15 00:00:00,24.6,20.1,30.6,0.6,,,7.4,,1015.3,
2024-01-16 00:00:00,25.2,19.8,31,0,,,10.8,,1013.9,
2024-01-17 00:00:00,25.7,20.1,32,0,,,10.7,,1014.6,
2024-01-18 00:00:00,27.6,21,31.6,0,,,8.1,,1014.6,
2024-01-19 00:00:00,27.6,21,31.5,0,,,8.6,,1014.4,
2024-01-20 00:00:00,26.7,21,31.4,0,,,9.9,,1015.1,
2024-01-21 00:00:00,25.8,21.1,32,2,,,9.9,,1016,
2024-01-22 00:00:00,26.2,21,32.5,0.8,,,9.1,,1015.8,
2024-01-23 00:00:00,26.3,20.7,32.6,0,,,9.7,,1014.8,
2024-01-24 00:00:00,28.2,21.1,33.2,0,,,11.7,,1014.7,
2024-01-25 00:00:00,26,20.8,32,0,,,11.3,,1014.4,
2024-01-26 00:00:00,28.5,21.8,33.4,0,,,9.7,,1014.9,
