date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,27,24,32,0,,331,9.6,,1012.2,
2024-01-02 00:00:00,27.2,22,32,0.4,,317,11.3,,1011.6,
2024-01-03 00:00:00,27.6,24,32,1.6,,328,9.9,,1011.3,
2024-01-04 00:00:00,27,22,33,0.4,,316,6.2,,1011.8,
2024-01-05 00:00:00,27,22,33,0.6,,333,9.4,,1011.3,
2024-01-06 00:00:00,26.5,22,32,1.2,,20,5.3,,1009.6,
2024-01-07 00:00:00,27.2,22,33,0.2,,336,9,,1009.1,
2024-01-08 00:00:00,27.3,22,33,0,,348,8.6,,1008.8,
2024-01-09 00:00:00,27.4,23,32,1.1,,280,6.9,,1009.1,
2024-01-10 00:00:00,27.4,23,32,3.2,,333,5.4,,1010.4,
2024-01-11 00:00:00,27.5,22,33,0.6,,287,6.6,,1010.5,
2024-01-12 00:00:00,27,22,33,2.4,,28,6.4,,1010.7,
2024-01-13 00:00:00,26.2,22,31,0.1,,46,6.2,,1011,
2024-01-14 00:00:00,27,22,33,1.9,,346,7.8,,1010.8,
2024-01-15 00:00:00,27.7,22,35,0,,351,6.5,,1009.2,
2024-01-16 00:00:00,27.9,22,34,1.6,,8,4.7,,1008.3,
2024-01-17 00:00:00,28,23,34,0.4,,332,9.2,,1009.4,
2024-01-18 00:00:00,29,24,34,0,,320,12.6,,1009.5,
2024-01-19 00:00:00,28.7,24,34,0,,301,8.4,,1009.1,
2024-01-20 00:00:00,26.9,21,34,0,,4,10.6,,1009.1,
2024-01-21 00:00:00,28.3,24,34,0,,333,12.4,,1010.4,
2024-01-22 00:00:00,29,25,34,0,,329,12.8,,1009.9,
2024-01-23 00:00:00,28.8,24,34,1.7,,297,9.2,,1009.3,
2024-01-24 00:00:00,28,22,34,0.2,,329,5.5,,1009,
2024-01-25 00:00:00,28.1,22,34,0.5,,343,7.3,,1009.2,
2024-01-26 00:00:00,27.4,22,33,2.3,,328,5.8,,1010.1,
2024-01-27 00:00:00,27.2,22,33,2.4,,36,4.9,,1011.1,
2024-01-28 00:00:00,27.6,22,33,0.9,,334,12.9,,1011.4,
2024-01-29 00:00:00,28.8,25,34,0,,336,16.6,,1011.3,
2024-01-30 00:00:00,27.8,22,34,0,,320,13.2,,1011.5,
2024-01-31 00:00:00,27.9,23,33,0,,322,11.4,,1011.9,
2024-02-01 00:00:00,26.5,21,35,0,,343,11.5,,1011.9,
2024-02-02 00:00:00,26.4,21,32,1.3,,353,8.5,,1011.3,
2024-02-03 00:00:00,26.6,22,32,0,,76,7.4,,1009.8,
2024-02-04 00:00:00,26.5,23,30,0.2,,97,7.6,,1009.3,
2024-02-05 00:00:00,27.4,25,30,5.1,,108,10.6,,1008.7,
2024-02-06 00:00:00,28.3,24,32,5.8,,93,11.6,,1010.1,
2024-02-07 00:00:00,26.9,24,30,0.1,,345,10.6,,1012.7,
2024-02-08 00:00:00,27,23,32,0,,9,14.9,,1012.1,
2024-02-09 00:00:00,26.9,21,32,0,,335,15.2,,1011.7,
2024-02-10 00:00:00,27.8,25,32,0,,298,14.9,,1010.5,
2024-02-11 00:00:00,28.8,25,34,0.1,,319,12,,1010,
2024-02-12 00:00:00,28,23,34,1.7,,333,6.3,,1009.5,
2024-02-13 00:00:00,28,22,34,0,,306,9.8,,1010.2,
2024-02-14 00:00:00,28.6,22,34,0.4,,345,15.7,,1010.4,
2024-02-15 00:00:00,29.1,25,34,1.6,,329,10.6,,1009.7,
2024-02-16 00:00:00,29.3,26,34,0,,322,10.9,,1009.1,
2024-02-17 00:00:00,28.9,24,33,2.9,,313,6.9,,1008,
2024-02-18 00:00:00,28.7,23,33,1,,285,9.4,,1009.3,
2024-02-19 00:00:00,30.1,25.9,35,0.2,,306,13.5,,1011.8,
2024-02-20 00:00:00,29.7,26,38,0,,325,19.6,,1013.5,
