date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,25.3,22,30,5.5,,,5.8,,1012.8,
2024-01-02 00:00:00,28.3,22.4,32.7,1,,,5.9,,1011.3,
2024-01-03 00:00:00,27.3,21.4,33,43.4,,,8.8,,1011.6,
2024-01-04 00:00:00,29.3,24,33.5,7.4,,,7.2,,1011.9,
2024-01-05 00:00:00,29.3,21.4,34.3,0.6,,,6.9,,1012,
2024-01-06 00:00:00,27.7,22.4,34,0,,,5.2,,1010.6,
2024-01-07 00:00:00,27.3,21.6,34,0,,,8.2,,1010,
2024-01-08 00:00:00,29.6,21.7,34.7,0,,,6.7,,1009.3,
2024-01-09 00:00:00,29.9,22.2,35.7,0,,,7.4,,1009.8,
2024-01-10 00:00:00,30.7,23,35,4.8,,,6.7,,1010.7,
2024-01-11 00:00:00,27.6,21.7,34,11.9,,,6.8,,1011.7,
2024-01-12 00:00:00,29.6,24.4,35,6.3,,,7.1,,1011,
2024-01-13 00:00:00,27.9,22,32,4,,,7.2,,1012.5,
2024-01-14 00:00:00,29.4,22,34.3,2.2,,,5.3,,1011.9,
2024-01-15 00:00:00,27.6,13,35,0.2,,,5.2,,1011.4,
2024-01-16 00:00:00,30.8,23.6,36,0,,,7.7,,1009.4,
2024-01-17 00:00:00,31.5,25,36.4,0,,,6.6,,1010.2,
2024-01-18 00:00:00,30.9,24.7,36,0,,,6.6,,1010.2,
2024-01-19 00:00:00,29.2,22,36,0,,,6.6,,1010.1,
2024-01-20 00:00:00,30.6,22.7,34,0,,,7.4,,1010.4,
2024-01-21 00:00:00,27.9,24.2,33,0,,,10.3,,1011.3,
2024-01-22 00:00:00,30,24,37,0,,,7.4,,1011.1,
2024-01-23 00:00:00,31.9,21.8,39,0,,,8.9,,1010.9,
2024-01-24 00:00:00,29.7,21.5,38,0,,,8.6,,1010.3,
2024-01-25 00:00:00,31.7,21,37.4,0,,,7.7,,1009.7,
2024-01-26 00:00:00,31.9,21.6,38,0,,,6,,1010.2,
2024-01-27 00:00:00,32.1,22.6,37,0,,,6.3,,1011,
2024-01-28 00:00:00,31,25,35.5,7.8,,,6.8,,1010.9,
2024-01-29 00:00:00,32.6,25.8,37.4,3.8,,,7.1,,1010.4,
2024-01-30 00:00:00,32.5,25.2,37,0,,,7,,1010.4,
2024-01-31 00:00:00,31.6,25,35.5,1.4,,,7.9,,1011.3,
2024-02-01 00:00:00,29.7,24.2,36.4,23.8,,,6.5,,1011.2,
2024-02-02 00:00:00,25.1,22.8,28,6.5,,,5.9,,1012.5,
2024-02-03 00:00:00,29.2,22.6,36.1,10.9,,,5.4,,1010.6,
2024-02-04 00:00:00,26.7,22,33,10.3,,,5.8,,1010.5,
2024-02-05 00:00:00,27.1,22.8,33.6,4.2,,,7.3,,1010.7,
2024-02-06 00:00:00,27.6,22.7,32,0,,,6.7,,1011.6,
2024-02-07 00:00:00,28,22.8,36,7.3,,,6.7,,1011.2,
2024-02-08 00:00:00,28.3,23,32,11.1,,,8,,1012.6,
2024-02-09 00:00:00,27.9,23.7,33.2,4.6,,,5.5,,1012,
2024-02-10 00:00:00,27.1,22.8,32,0,,,6.5,,1010.9,
2024-02-11 00:00:00,29.8,24,35,0.8,,,5.9,,1009.8,
2024-02-12 00:00:00,30.4,24,35.6,0,,,7.4,,1010,
2024-02-13 00:00:00,31,24.3,35.5,0,,,5.8,,1011,
2024-02-14 00:00:00,29,23.2,35,0,,,6.9,,1011.7,
2024-02-15 00:00:00,29.4,24.8,32,0,,,9.7,,1011.8,
2024-02-16 00:00:00,29.7,24.8,34,0,,,10.1,,1010.4,
2024-02-17 00:00:00,29.8,24.9,34,0,,,8.9,,1010.7,
2024-02-18 00:00:00,30.2,24,37.5,0.1,,,7.9,,1010,
2024-02-19 00:00:00,31.4,24.5,38.3,0,,,9.4,,1011.3,
2024-02-20 00:00:00,32.4,24.8,37.1,33.7,,,9.9,,1011.4,
2024-02-21 00:00:00,31.8,26,35,16.3,,,12.8,,1010.9,
2024-02-22 00:00:00,30.9,26,34,4.3,,,14.3,,1010.9,
