Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia,Pais
2024-01-01,28.3,20.8,24.8,0.0,20.9,Norte,Ibague,Tolima,Colombia
2024-01-02,28.9,20.9,25.3,0.0,29.5,Norte,Ibague,Tolima,Colombia
2024-01-03,30.0,19.1,23.8,0.3,35.6,Norte,Ibague,Tolima,Colombia
2024-01-04,30.0,20.3,24.3,0.1,36.0,Norte,Ibague,Tolima,Colombia
2024-01-05,30.7,20.4,25.7,0.0,26.3,Norte,Ibague,Tolima,Colombia
2024-01-06,30.5,19.9,26.1,0.0,24.8,Norte,Ibague,Tolima,Colombia
2024-01-07,31.0,19.9,24.8,0.0,31.3,Norte,Ibague,Tolima,Colombia
2024-01-08,31.0,20.1,26.8,0.0,34.9,Norte,Ibague,Tolima,Colombia
2024-01-09,31.3,20.2,26.5,3.0,34.6,Norte,Ibague,Tolima,Colombia
2024-01-10,29.0,20.9,24.6,0.2,26.6,Norte,Ibague,Tolima,Colombia
2024-01-11,29.4,19.8,24.8,1.0,25.9,Norte,Ibague,Tolima,Colombia
2024-01-12,30.0,19.7,24.8,0.0,33.5,Norte,Ibague,Tolima,Colombia
2024-01-13,30.3,19.9,23.6,3.0,30.6,Norte,Ibague,Tolima,Colombia
2024-01-14,29.6,19.6,24.2,0.0,23.8,Norte,Ibague,Tolima,Colombia
2024-01-15,30.6,20.1,24.6,0.6,26.6,Norte,Ibague,Tolima,Colombia
2024-01-16,31.0,19.8,25.2,0.0,38.9,Norte,Ibague,Tolima,Colombia
2024-01-17,32.0,20.1,25.7,0.0,38.5,Norte,Ibague,Tolima,Colombia
2024-01-18,31.6,21.0,27.6,0.0,29.2,Norte,Ibague,Tolima,Colombia
2024-01-19,31.5,21.0,27.6,0.0,31.0,Norte,Ibague,Tolima,Colombia
2024-01-20,31.4,21.0,26.7,0.0,35.6,Norte,Ibague,Tolima,Colombia
2024-01-21,32.0,21.1,25.8,2.0,35.6,Norte,Ibague,Tolima,Colombia
2024-01-22,32.5,21.0,26.2,0.8,32.8,Norte,Ibague,Tolima,Colombia
2024-01-23,32.6,20.7,26.3,0.0,34.9,Norte,Ibague,Tolima,Colombia
2024-01-24,33.2,21.1,28.2,0.0,42.1,Norte,Ibague,Tolima,Colombia
2024-01-25,32.0,20.8,26.0,0.0,40.7,Norte,Ibague,Tolima,Colombia
2024-01-26,33.4,21.8,28.5,0.0,34.9,Norte,Ibague,Tolima,Colombia
2024-01-27,33.1,21.9,28.3,0.0,35.3,Norte,Ibague,Tolima,Colombia
2024-01-28,32.8,21.4,27.7,0.0,37.4,Norte,Ibague,Tolima,Colombia
2024-01-29,32.9,21.2,26.5,0.1,34.9,Norte,Ibague,Tolima,Colombia
2024-01-30,33.0,20.9,27.6,0.0,33.8,Norte,Ibague,Tolima,Colombia
2024-01-31,31.7,21.0,25.9,0.2,27.4,Norte,Ibague,Tolima,Colombia
2024-02-01,32.3,21.0,26.9,0.0,29.9,Norte,Ibague,Tolima,Colombia
2024-02-02,30.2,21.1,24.2,0.0,28.8,Norte,Ibague,Tolima,Colombia
2024-02-03,28.8,19.4,23.6,18.6,29.9,Norte,Ibague,Tolima,Colombia
2024-02-04,29.1,19.3,24.1,0.8,24.1,Norte,Ibague,Tolima,Colombia
2024-02-05,27.8,19.6,23.2,8.9,32.8,Norte,Ibague,Tolima,Colombia
2024-02-06,30.0,20.1,24.0,2.3,38.5,Norte,Ibague,Tolima,Colombia
